dataset,layer,algo,metric,before,after,drop,worst_attack,n_samples,classes
cicids2017,ingestion,Random Forest,accuracy,0.9557,0.1276,0.8281,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,precision,0.9732,0.6909,0.2823,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,recall,0.9557,0.1276,0.8281,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,f1_score,0.9424,0.1825,0.7599,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,tpr,0.8983,0.1815,0.7168,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,fpr,0.0053,0.1022,-0.0969,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,auc_roc,1.0,0.6374,0.3626,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,ingestion,Random Forest,avg_precision,1.0,0.227,0.773,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,triage,Gradient Boosting,accuracy,0.9999,0.2964,0.7035,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,precision,0.9999,0.6139,0.386,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,recall,0.9999,0.2964,0.7035,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,f1_score,0.9999,0.2863,0.7136,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,tpr,0.9998,0.3259,0.6739,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,fpr,0.0,0.2101,-0.2101,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,auc_roc,1.0,0.6935,0.3065,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,triage,Gradient Boosting,avg_precision,1.0,0.3633,0.6367,POISON-mimicry,28407,"['0', '1', '2', '3']"
cicids2017,detection,MLP Neural Net,accuracy,0.9997,0.0413,0.9584,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,precision,0.9997,0.002,0.9977,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,recall,0.9997,0.0413,0.9584,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,f1_score,0.9997,0.0039,0.9958,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,tpr,0.9993,0.1171,0.8822,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,fpr,0.0,0.0993,-0.0993,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,auc_roc,1.0,0.5349,0.4651,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,detection,MLP Neural Net,avg_precision,1.0,0.1952,0.8048,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8', '9']"
cicids2017,siem,Random Forest,accuracy,0.9558,0.1242,0.8316,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,precision,0.9732,0.6902,0.283,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,recall,0.9558,0.1242,0.8316,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,f1_score,0.9427,0.1787,0.764,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,tpr,0.8987,0.1732,0.7255,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,fpr,0.0053,0.1025,-0.0972,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,auc_roc,1.0,0.687,0.313,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,siem,Random Forest,avg_precision,1.0,0.2318,0.7682,POISON-mimicry,28407,"['0', '1', '2', '3', '4', '5', '6', '7', '8']"
cicids2017,soar,Gradient Boosting,accuracy,0.9844,0.3655,0.6189,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,precision,0.987,0.8103,0.1767,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,recall,0.9844,0.3655,0.6189,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,f1_score,0.9842,0.4281,0.5561,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,tpr,0.9554,0.3505,0.6049,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,fpr,0.0034,0.1381,-0.1347,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,auc_roc,1.0,0.7791,0.2209,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
cicids2017,soar,Gradient Boosting,avg_precision,1.0,0.4066,0.5934,POISON-mimicry,28407,"['0', '1', '2', '3', '4']"
