dataset,attack,layer,acc_clean,acc_adv,acc_drop,evasion,f1_before,f1_after,tpr_before,tpr_after,fpr_before,fpr_after,auc_before,auc_after,ap_before,ap_after,f1_drop,auc_drop,precision_drop,recall_drop,drop_severity,l2_mean,l2_max,linf_mean,linf_max,pct_unchanged,n_truly_fooled,n_pred_changed,pct_pred_changed,pct_truly_fooled
cicids2017,FGSM ε=0.01,ingestion,0.9557,0.9919,-0.0362,0.0,0.9424,0.9918,0.8983,0.9816,0.0053,0.001,1.0,1.0,1.0,0.9999,-0.0494,0.0,-0.0195,-0.0362,LOW,0.08803700655698776,0.08939167857170105,0.009994298219680786,0.009996399283409119,0.0,14,1058,0.0372,0.0005
cicids2017,FGSM ε=0.01,triage,0.9999,0.9996,0.0003,0.0006,0.9999,0.9996,0.9998,0.9992,0.0,0.0001,1.0,1.0,1.0,1.0,0.0003,0.0,0.0003,0.0003,LOW,0.08797336369752884,0.08932729810476303,0.009987111203372478,0.009989187121391296,0.0,9,10,0.0004,0.0003
cicids2017,FGSM ε=0.01,detection,0.9997,0.9991,0.0006,0.0016,0.9997,0.9991,0.9993,0.9977,0.0,0.0001,1.0,1.0,1.0,0.9999,0.0006,0.0,0.0006,0.0006,LOW,0.08808746188879013,0.08944293856620789,0.010000030510127544,0.01000213623046875,0.0,16,16,0.0006,0.0006
cicids2017,FGSM ε=0.01,siem,0.9558,0.9903,-0.0345,0.0,0.9427,0.9901,0.8987,0.978,0.0053,0.0012,1.0,1.0,1.0,0.9984,-0.0474,0.0,-0.018,-0.0345,LOW,0.08805978298187256,0.08941493183374405,0.009996908716857433,0.009998992085456848,0.0,23,1034,0.0364,0.0008
cicids2017,FGSM ε=0.01,soar,0.9844,0.9898,-0.0054,0.0,0.9842,0.9897,0.9554,0.9725,0.0034,0.0022,1.0,1.0,1.0,0.9999,-0.0055,0.0,-0.0039,-0.0054,LOW,0.08800787478685379,0.08936214447021484,0.009991026483476162,0.009993106126785278,0.0,31,213,0.0075,0.0011
cicids2017,FGSM ε=0.05,ingestion,0.9557,0.9215,0.0342,0.0389,0.9424,0.9175,0.8983,0.8594,0.0053,0.0101,1.0,0.9975,1.0,0.9576,0.0249,0.0025,0.0341,0.0342,HIGH,0.44018498063087463,0.44695743918418884,0.049971356987953186,0.04997437074780464,0.0,1874,2914,0.1026,0.066
cicids2017,FGSM ε=0.05,triage,0.9999,0.9509,0.049,0.1032,0.9999,0.948,0.9998,0.8966,0.0,0.0154,1.0,0.9984,1.0,0.9792,0.0519,0.0016,0.0429,0.049,HIGH,0.4398670792579651,0.4466349482536316,0.04993531480431557,0.04993829131126404,0.0,1394,1396,0.0491,0.0491
cicids2017,FGSM ε=0.05,detection,0.9997,0.967,0.0327,0.0934,0.9997,0.9667,0.9993,0.9059,0.0,0.0034,1.0,0.9994,1.0,0.938,0.033,0.0006,0.0311,0.0327,HIGH,0.44043755531311035,0.4472137987613678,0.050000034272670746,0.0500030517578125,0.0,929,929,0.0327,0.0327
cicids2017,FGSM ε=0.05,siem,0.9558,0.9203,0.0355,0.044,0.9427,0.9163,0.8987,0.8547,0.0053,0.0105,1.0,0.9975,1.0,0.9572,0.0264,0.0025,0.0349,0.0355,HIGH,0.44029900431632996,0.44707348942756653,0.04998435452580452,0.04998779296875,0.0,1898,2904,0.1022,0.0668
cicids2017,FGSM ε=0.05,soar,0.9844,0.9287,0.0557,0.136,0.9842,0.9153,0.9554,0.8194,0.0034,0.0177,1.0,0.999,1.0,0.9951,0.0689,0.001,0.0448,0.0557,HIGH,0.44003987312316895,0.4468102753162384,0.04995490610599518,0.04995790123939514,0.0,1768,1952,0.0687,0.0622
cicids2017,FGSM ε=0.10,ingestion,0.9557,0.8968,0.0589,0.105,0.9424,0.8836,0.8983,0.7933,0.0053,0.014,1.0,0.9973,1.0,0.9381,0.0588,0.0027,0.0524,0.0589,HIGH,0.8803701996803284,0.8939148783683777,0.09994268417358398,0.099945068359375,0.0,2509,3525,0.1241,0.0883
cicids2017,FGSM ε=0.10,triage,0.9999,0.9247,0.0752,0.158,0.9999,0.9153,0.9998,0.8418,0.0,0.0239,1.0,0.997,1.0,0.9617,0.0846,0.003,0.0676,0.0752,HIGH,0.8797342777252197,0.8932690620422363,0.09987051039934158,0.09987092018127441,0.0,2140,2142,0.0754,0.0753
cicids2017,FGSM ε=0.10,detection,0.9997,0.8507,0.149,0.4261,0.9997,0.8473,0.9993,0.5732,0.0,0.0155,1.0,0.9952,1.0,0.6678,0.1524,0.0048,0.1379,0.149,CRITICAL,0.8808751702308655,0.8944274187088013,0.10000002384185791,0.10000038146972656,0.0,4231,4231,0.1489,0.1489
