exp_id,timestamp,dataset,attack,layer,epsilon,acc_drop,f1_drop,auc_drop,n_fooled,n_total,fool_rate,l2_mean,linf_mean,elapsed_s
1,2026-05-03T11:17:17,cicids2017,FGSM ε=0.01,ingestion,0.01,-0.0362,-0.0494,0.0,14,28407,0.0005,0.088,0.01,29.27
2,2026-05-03T11:17:17,cicids2017,FGSM ε=0.01,triage,0.01,0.0003,0.0003,0.0,9,28407,0.0003,0.088,0.01,29.27
3,2026-05-03T11:17:17,cicids2017,FGSM ε=0.01,detection,0.01,0.0006,0.0006,0.0,16,28407,0.0006,0.0881,0.01,29.27
4,2026-05-03T11:17:17,cicids2017,FGSM ε=0.01,siem,0.01,-0.0345,-0.0474,0.0,23,28407,0.0008,0.0881,0.01,29.27
5,2026-05-03T11:17:17,cicids2017,FGSM ε=0.01,soar,0.01,-0.0054,-0.0055,0.0,31,28407,0.0011,0.088,0.01,29.27
6,2026-05-03T11:17:46,cicids2017,FGSM ε=0.05,ingestion,0.05,0.0342,0.0249,0.0025,1874,28407,0.066,0.4402,0.05,29.43
7,2026-05-03T11:17:46,cicids2017,FGSM ε=0.05,triage,0.05,0.049,0.0519,0.0016,1394,28407,0.0491,0.4399,0.0499,29.43
8,2026-05-03T11:17:46,cicids2017,FGSM ε=0.05,detection,0.05,0.0327,0.033,0.0006,929,28407,0.0327,0.4404,0.05,29.43
9,2026-05-03T11:17:46,cicids2017,FGSM ε=0.05,siem,0.05,0.0355,0.0264,0.0025,1898,28407,0.0668,0.4403,0.05,29.43
10,2026-05-03T11:17:46,cicids2017,FGSM ε=0.05,soar,0.05,0.0557,0.0689,0.001,1768,28407,0.0622,0.44,0.05,29.43
11,2026-05-03T11:18:15,cicids2017,FGSM ε=0.10,ingestion,0.1,0.0589,0.0588,0.0027,2509,28407,0.0883,0.8804,0.0999,29.22
12,2026-05-03T11:18:15,cicids2017,FGSM ε=0.10,triage,0.1,0.0752,0.0846,0.003,2140,28407,0.0753,0.8797,0.0999,29.22
13,2026-05-03T11:18:15,cicids2017,FGSM ε=0.10,detection,0.1,0.149,0.1524,0.0048,4231,28407,0.1489,0.8809,0.1,29.22
14,2026-05-03T11:18:15,cicids2017,FGSM ε=0.10,siem,0.1,0.0676,0.0691,0.0029,2732,28407,0.0962,0.8806,0.1,29.22
15,2026-05-03T11:18:15,cicids2017,FGSM ε=0.10,soar,0.1,0.0692,0.0893,0.0021,2155,28407,0.0759,0.8801,0.0999,29.22
16,2026-05-03T11:18:45,cicids2017,FGSM ε=0.20,ingestion,0.2,0.1391,0.1455,0.0068,4426,28407,0.1558,1.7607,0.1999,29.46
17,2026-05-03T11:18:45,cicids2017,FGSM ε=0.20,triage,0.2,0.121,0.1412,0.0103,3440,28407,0.1211,1.7595,0.1997,29.46
18,2026-05-03T11:18:45,cicids2017,FGSM ε=0.20,detection,0.2,0.2578,0.2619,0.0177,7324,28407,0.2578,1.7618,0.2,29.46
19,2026-05-03T11:18:45,cicids2017,FGSM ε=0.20,siem,0.2,0.1408,0.1484,0.0068,4439,28407,0.1563,1.7612,0.1999,29.46
20,2026-05-03T11:18:45,cicids2017,FGSM ε=0.20,soar,0.2,0.0968,0.1207,0.0097,2949,28407,0.1038,1.7602,0.1998,29.46
21,2026-05-03T11:19:15,cicids2017,FGSM ε=0.30,ingestion,0.3,0.1719,0.181,0.0119,5272,28407,0.1856,2.6411,0.2998,30.84
22,2026-05-03T11:19:15,cicids2017,FGSM ε=0.30,triage,0.3,0.1713,0.1906,0.0301,4866,28407,0.1713,2.6392,0.2996,30.84
23,2026-05-03T11:19:15,cicids2017,FGSM ε=0.30,detection,0.3,0.2777,0.2763,0.0263,7889,28407,0.2777,2.6426,0.3,30.84
24,2026-05-03T11:19:15,cicids2017,FGSM ε=0.30,siem,0.3,0.1807,0.1906,0.0128,5506,28407,0.1938,2.6418,0.2999,30.84
25,2026-05-03T11:19:15,cicids2017,FGSM ε=0.30,soar,0.3,0.1388,0.163,0.0294,4148,28407,0.146,2.6402,0.2997,30.84
26,2026-05-03T11:20:19,cicids2017,PGD  ε=0.01,ingestion,0.01,-0.0359,-0.049,0.0,11,28407,0.0004,0.0884,0.01,63.7
27,2026-05-03T11:20:19,cicids2017,PGD  ε=0.01,triage,0.01,0.0002,0.0002,0.0,8,28407,0.0003,0.0883,0.01,63.7
28,2026-05-03T11:20:19,cicids2017,PGD  ε=0.01,detection,0.01,0.0006,0.0006,0.0,16,28407,0.0006,0.0884,0.01,63.7
29,2026-05-03T11:20:19,cicids2017,PGD  ε=0.01,siem,0.01,-0.0348,-0.0477,0.0,21,28407,0.0007,0.0884,0.01,63.7
30,2026-05-03T11:20:19,cicids2017,PGD  ε=0.01,soar,0.01,-0.0056,-0.0058,0.0,27,28407,0.001,0.0883,0.01,63.7
31,2026-05-03T11:21:21,cicids2017,PGD  ε=0.05,ingestion,0.05,0.037,0.0284,0.0024,1873,28407,0.0659,0.44,0.05,61.48
32,2026-05-03T11:21:21,cicids2017,PGD  ε=0.05,triage,0.05,0.0507,0.0538,0.0016,1442,28407,0.0508,0.4396,0.0499,61.48
33,2026-05-03T11:21:21,cicids2017,PGD  ε=0.05,detection,0.05,0.0348,0.0351,0.0007,987,28407,0.0347,0.4402,0.05,61.48
34,2026-05-03T11:21:21,cicids2017,PGD  ε=0.05,siem,0.05,0.0352,0.0262,0.0025,1842,28407,0.0648,0.4401,0.05,61.48
